row;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;Wifi;AC;Beachfront;Garden;Ocean View;Netflix;Pet Friendly;Balcony;Parking;Terrace;Swimming Pool;Mountain View;TV;Lake View;Gym;Breakfast Included;Patio
9770;Deluxe Modern Cozy Room 300m to Coles near Beach;26658869;Samantha;Western Australia;WANNEROO;-31.6270394;115.695152;Private room;135;1;1;2024-03-21;0.31;1;179;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0
9771;Studio apt with Kitchenette bathroom And jetty;28936447;Tracy;Western Australia;MANDURAH;-32.5379204;115.71369;Entire home/apt;79;1;1;2024-06-23;1.0;3;235;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0
9772;Resort style living entire apartment With Jetty;28936447;Tracy;Western Australia;MANDURAH;-32.5379204;115.71369;Entire home/apt;168;1;1;2024-06-25;1.0;3;320;1;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0
9773;Mr Reubs  Margaret River;80667618;Peta;Western Australia;AUGUSTA-MARGARET RIVER;-33.94815436632556;115.07663344347884;Entire home/apt;421;2;1;2024-06-16;1.0;1;241;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1
9774;Cbreeze  Coogee Beach;555662067;Rebecca;Western Australia;COCKBURN;-32.1137595405513;115.76687652643268;Entire home/apt;291;3;5;2024-05-24;1.55;1;164;5;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0
9775;Two Bedroom Apartment  Rockingham Foreshore;284409810;Marcella;Western Australia;ROCKINGHAM;-32.276975747724;115.72902828584638;Entire home/apt;180;7;5;2024-05-14;1.6;1;229;5;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0
9776;3br Retreat Convenient Location;96797195;Silvio;Western Australia;ESPERANCE;-33.856967;121.8730941;Entire home/apt;220;1;16;2024-06-19;5.11;1;213;16;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0
9777;Cozy home next to Heronwood Reserve convenient;563988322;Vivek;Western Australia;ARMADALE;-32.11824;115.92496;Entire home/apt;148;2;11;2024-06-14;3.4;1;245;11;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0
9778;Halls Head Beach Haven  pets welcome;146043340;Ruby;Western Australia;MANDURAH;-32.55980628981288;115.6755238802385;Entire home/apt;348;2;3;2024-06-10;1.02;1;112;3;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1
9779;The Carriage;211240383;Robert;Western Australia;MUNDARING;-31.889195320208607;116.17384208080942;Entire home/apt;297;1;8;2024-06-18;2.53;2;293;8;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1
9780;Cottage;211240383;Robert;Western Australia;MUNDARING;-31.88930568006785;116.17217120968644;Entire home/apt;263;1;6;2024-06-04;1.58;2;335;6;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
9781;Mini Stay  Eagle Bay Hideaway;155508727;Kerry And Mike;Western Australia;BUSSELTON;-33.55692435131343;115.05886768426272;Entire home/apt;250;2;7;2024-06-18;1.93;2;155;7;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1
9782;OasisGuestHouse  retreat with pool;564019682;Sar And Val;Western Australia;COCKBURN;-32.12178172043068;115.81234783512444;Entire home/apt;146;1;18;2024-06-23;5.45;1;110;18;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
9783;Serene Studio Guesthouse near beach  river;201734022;Brilliana;Western Australia;FREMANTLE;-32.02590632723178;115.75467437867212;Entire home/apt;175;3;2;2024-04-15;0.55;1;162;2;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0
9784;Boho Oasis Northbridge;452329321;Sarah & Clarke;Western Australia;PERTH;-31.94713;115.85208;Entire home/apt;170;2;15;2024-06-17;4.37;2;180;15;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0
9785;Cozy Modern Apartment;237994447;Jayden;Western Australia;STIRLING;-31.888808575370145;115.78657384398691;Entire home/apt;140;1;1;2024-03-23;0.31;1;246;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1
9786;Venetian Cat Room MasksRoses;556434175;Serhii;Western Australia;BASSENDEAN;-31.89788;115.94246;Private room;90;1;1;2024-04-22;0.45;6;270;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1
9787;The Oriental Room;28274853;Benjamin;Western Australia;VINCENT;-31.92673777235256;115.84235859318974;Private room;99;1;4;2024-06-09;1.58;5;269;4;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1
9788;Relaxing Beach Shack;69597474;Anne;Western Australia;BUSSELTON;-33.652744411552405;115.33421918749808;Private room;130;2;6;2024-06-16;1.55;1;289;6;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0
9789;High Wycombe;203958255;Enhance Hope Services;Western Australia;KALAMUNDA;-31.93809309553789;116.01116388215468;Entire home/apt;250;2;2;2024-04-13;0.78;2;55;2;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0
9790;Cosy Beach Escape;281274472;Carolyn;Western Australia;JOONDALUP;-31.78419434646524;115.7380757417836;Entire home/apt;200;2;17;2024-06-10;4.4;1;77;17;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0
9791;Live like a local in Mt Lawley;92995395;Martin;Western Australia;STIRLING;-31.9288298;115.8825122;Entire home/apt;135;3;5;2024-06-02;1.29;1;27;5;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0
9792;Near Bunbury Hospital Uni TAFE;58649611;Andrew;Western Australia;BUNBURY;-33.36187811539935;115.65026338996088;Private room;90;1;1;2024-06-05;1.0;1;270;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1
9793;Short walk to beach  cafes  2 x KB 1 x QB Wifi;564187155;Leanne;Western Australia;STIRLING;-31.89666414191246;115.76127744109458;Entire home/apt;246;2;13;2024-06-21;3.51;1;15;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9794;Barefoot Beach Cottage;153678208;Geographe Holiday Homes;Western Australia;BUSSELTON;-33.64232256569326;115.36255725018854;Entire home/apt;156;1;4;2024-04-28;1.18;100;224;4;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0
9795;The Cottage at Margaret River GH;13083720;Lisa;Western Australia;AUGUSTA-MARGARET RIVER;-33.94874182515905;115.07067160325846;Entire home/apt;432;2;2;2024-04-28;0.74;8;238;2;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0
9796;Coastal Haven on Ostia  Geographe;153678208;Geographe Holiday Homes;Western Australia;BUSSELTON;-33.63805968868746;115.38817374316524;Entire home/apt;237;1;6;2024-06-03;1.67;100;285;6;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0
9797;Glass Street Retreat;556788035;Jamie;Western Australia;NORTHAMPTON;-27.7130189;114.1600756;Entire home/apt;290;2;3;2024-06-03;1.76;1;298;3;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
9798;R8 near Perth Airport CDB Vic Park Curtin TAFE;164183622;Cunna;Western Australia;VICTORIA PARK;-31.9987458;115.9106501;Shared room;53;2;3;2024-06-09;0.82;7;171;3;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0
9799;Deluxe Canal Getaway;238353687;Thi;Western Australia;MANDURAH;-32.5379204;115.71369;Entire home/apt;379;2;1;2024-03-10;0.28;4;327;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1
9800;Urban Apt in the Heart of Northbridge;298718719;Cloud Bnb;Western Australia;PERTH;-31.94657;115.85409;Entire home/apt;190;3;1;2024-04-09;0.38;59;178;1;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0
9801;Buone Vacanze;511967;Hometime Group;Western Australia;BUSSELTON;-33.6246779939733;115.1197113133418;Entire home/apt;530;1;1;2024-03-05;0.26;126;321;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0
9802;Our Happy Place on Middleton Bay;65874966;Jane;Western Australia;ALBANY;-35.005922397375585;117.92734734714033;Entire home/apt;250;1;5;2024-04-27;1.47;2;175;5;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0
9803;Very old style house near Perth airport and city;113599341;Ella;Western Australia;BELMONT;-31.950733952558565;115.9503868393048;Entire home/apt;145;3;9;2024-04-13;2.43;2;248;9;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0
9804;Our Happy Place Retreat;65874966;Jane;Western Australia;ALBANY;-35.00505751115864;117.9275518413054;Entire home/apt;153;1;5;2024-05-23;1.72;2;178;5;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
9805;4 x Bedrooms 2 x Bathrooms 4 Beds for 7 Guests;564535410;Lucas;Western Australia;GOSNELLS;-32.0489622;116.0036359;Entire home/apt;182;3;7;2024-06-16;2.41;1;240;7;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0
9806;Staying on Stubbs;472302405;Kate;Western Australia;LAKE GRACE;-33.1010782;118.4671666;Entire home/apt;220;1;1;2024-05-14;0.7;1;267;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0
9807; NEW  The Lena Retreat  200m bush track to town;36118971;Bec;Western Australia;BUSSELTON;-33.6208413;115.1023149;Entire home/apt;386;2;1;2024-06-25;1.0;1;10;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1
9808;Comfy Bed Stay in The Lakes;559735874;Kim;Western Australia;BUSSELTON;-33.62966;115.11224;Private room;173;1;20;2024-06-16;5.17;1;347;20;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0
9809;Modern apartment close to Freo;564551246;Matt;Western Australia;COCKBURN;-32.0890265;115.7840296;Entire home/apt;180;1;21;2024-06-21;5.73;1;267;21;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1
9810;Lindo Shack;53270958;Sophie;Western Australia;HARVEY;-33.14864;115.68852;Entire home/apt;220;2;4;2024-04-06;1.19;1;263;4;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0
9811;WiFi and Smart TV Apartment in Northbridge;298718719;Cloud Bnb;Western Australia;PERTH;-31.94503;115.85272;Entire home/apt;147;3;1;2024-03-23;0.31;59;354;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
9812;Port City View Apartment;564594822;Shey;Western Australia;FREMANTLE;-32.05129817324521;115.7566343150666;Entire home/apt;149;2;21;2024-06-23;6.12;1;279;21;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
9813;Scarborough Beach Retreat;20135873;Decima;Western Australia;STIRLING;-31.90363967090743;115.75934318547206;Entire home/apt;131;1;4;2024-06-25;1.03;1;259;4;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0
9814;5BRs and pool luxury entertainer home;563205033;Sam;Western Australia;JOONDALUP;-31.713220929176256;115.73335716354929;Entire home/apt;428;2;8;2024-06-02;2.26;2;79;8;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0
9815;Modern Villa Near Curtin University;183111856;Lucy;Western Australia;CANNING;-32.00878423679595;115.90497823783905;Entire home/apt;295;3;9;2024-06-20;2.48;30;216;9;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0
9816;Hakea House;27339306;Deirdre;Western Australia;JERRAMUNGUP;-34.3888301;119.378136;Entire home/apt;209;1;3;2024-06-03;1.53;1;81;3;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0
9817;Northbridge Prime Location2BR;45878793;Mabel;Western Australia;PERTH;-31.94514;115.85428;Entire home/apt;195;3;6;2024-06-09;1.82;20;353;6;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0
9818;18 Bateman Retreat 4BDR 25BTH;106486177;Phoebe;Western Australia;MELVILLE;-32.05037859619322;115.847191986511;Entire home/apt;313;3;3;2024-06-14;0.8;101;356;3;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0
9819;Gorgeous Hamilton House;28608261;Ibrail;Western Australia;COCKBURN;-32.08165392692849;115.77838608064808;Private room;83;1;6;2024-05-03;1.64;4;268;6;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1
9820;Sweet and cosy home in MD room No3;564773391;Zhicheng;Western Australia;GOSNELLS;-32.04507848011151;115.99485953843065;Private room;49;2;1;2024-03-22;0.31;7;261;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0
9821;Ularring Cottage Dwellingup;223272515;Jane;Western Australia;MURRAY;-32.721802528820454;116.09250799993;Entire home/apt;343;2;3;2024-05-26;1.53;1;131;3;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0
9822;Merredin Cottage;383415327;Cherie;Western Australia;MERREDIN;-31.48645156193057;118.27640067758884;Entire home/apt;140;5;3;2024-05-25;0.83;1;364;3;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0
9823;70s desert sands bedroom II;45561934;Charlie;Western Australia;ARMADALE;-32.12061090019254;116.00736170196876;Private room;50;2;1;2024-04-05;0.36;2;79;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1
9824;Modern Retreat Near CBD  UWA;537086479;Joanne;Western Australia;NEDLANDS;-31.97975952277977;115.80931248777136;Entire home/apt;301;7;2;2024-04-14;0.73;15;17;2;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
9825;Sunset Studio Suite;2805659;Mariesa;Western Australia;BROOME;-17.950490201894667;122.24433459341526;Private room;140;3;12;2024-06-25;4.39;1;178;12;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0
9826;Urban Trails  Private 2Bed 1Bath  Kitchenette;565101211;Mitchell;Western Australia;VICTORIA PARK;-31.9824148;115.9034627;Entire home/apt;136;2;11;2024-06-16;4.07;1;228;11;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0
9827;Spectacular EagleBay Family Home;565225494;Luke;Western Australia;BUSSELTON;-33.559648021163056;115.0650130193548;Entire home/apt;850;2;1;2024-06-03;1.0;1;325;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0
9828;TeySha Retreat New Luxurious  Unique Property;538820502;Indah Stays;Western Australia;BUSSELTON;-33.66582284725779;115.04402043165592;Entire home/apt;1114;3;1;2024-03-28;0.33;6;320;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0
9829;Kanangkal House  nestled within the treetops;4565455;Beth;Western Australia;BUSSELTON;-33.68552582418462;115.06164932504856;Entire home/apt;390;3;2;2024-06-09;1.0;2;231;2;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0
9830;Moonrakers on South Street;565255416;Sharon;Western Australia;FREMANTLE;-32.062903919660634;115.75873156711582;Entire home/apt;110;2;14;2024-06-23;4.29;1;237;14;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1
9831;Newly Renod 5x3 great location;526409745;Josie;Western Australia;CANNING;-32.01894154554292;115.92486293185075;Entire home/apt;250;1;27;2024-06-21;7.23;1;149;27;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0
9832;The River House A Contemporary Riverside Retreat;546610978;Eva And Ben;Western Australia;MURRAY;-32.63064796962864;115.87671518237418;Entire home/apt;325;2;3;2024-06-09;3.0;2;155;3;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1
9833;Beautiful Clean and Cosy Room;549065580;Rishab;Western Australia;ROCKINGHAM;-32.30242103562627;115.80747105302042;Private room;52;1;5;2024-05-21;1.58;2;269;5;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1
9834;Shenton Park Retreat with Pool  Car Bay;6202448;Linni;Western Australia;SUBIACO;-31.959515773480756;115.82000591754851;Entire home/apt;147;1;15;2024-06-17;4.25;28;175;15;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1
9835;Antique Magical Garden  MusesSHARING ROOM;556434175;Serhii;Western Australia;BASSENDEAN;-31.89788;115.94246;Shared room;66;1;2;2024-04-20;0.63;6;270;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
9836;Kings Park Oasis  Contemporary Haven with Parking;64281539;Julian;Western Australia;PERTH;-31.95445;115.84856;Entire home/apt;236;4;8;2024-06-11;2.67;1;305;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
9837;Estuary View  Balcony Apartment;473254708;Kristy;Western Australia;MANDURAH;-32.58424294393603;115.6654488582707;Entire home/apt;120;1;11;2024-06-01;3.03;3;224;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
9838;Swell Villa 6  Kalbarri WA;425993564;Aree;Western Australia;NORTHAMPTON;-27.71284;114.16344;Entire home/apt;254;1;1;2024-05-11;0.65;91;351;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0
9839;Renovated unit 300m to beach;5963245;Laura;Western Australia;BUSSELTON;-33.62373616832589;115.11871173977852;Entire home/apt;130;1;5;2024-05-13;1.69;2;79;5;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0
9840;Home in Seville Grove;565384122;Molisy;Western Australia;ARMADALE;-32.13185504596653;115.98365767270646;Entire home/apt;175;2;4;2024-06-11;1.38;1;253;4;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1
9841;Central Nannup Holiday Home;153678208;Geographe Holiday Homes;Western Australia;NANNUP;-33.97941865727011;115.76608930491284;Entire home/apt;158;1;6;2024-06-03;2.34;100;238;6;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0
9842;Guest House in Suburban bliss;373609484;Felix;Western Australia;SWAN;-31.87000419999999;115.9702193;Entire home/apt;130;3;5;2024-06-17;1.58;2;265;5;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0
9843;Adults retreat;360630633;Gary;Western Australia;PLANTAGENET;-34.65253582795004;117.82711031143124;Entire home/apt;320;2;1;2024-06-03;1.0;3;353;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1
9844;Boho Chic Retreat in the heart of Doubleview;55410179;Let Go;Western Australia;STIRLING;-31.8967846;115.7850161;Entire home/apt;194;2;5;2024-06-11;1.47;98;146;5;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0
9845;Comfy 2BR Abode ;191877942;Arun;Western Australia;WANNEROO;-31.82548;115.8234;Entire home/apt;300;2;2;2024-03-15;0.56;3;68;2;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0
9846;Cozy Guesthouse in Padbury;436575920;Katie;Western Australia;JOONDALUP;-31.81124389834319;115.75968162955286;Entire home/apt;120;3;6;2024-05-31;1.82;1;149;6;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0
9847;Waterfront Oasis in Wannanup;565626316;Lue;Western Australia;MANDURAH;-32.5975157;115.637288;Entire home/apt;250;2;4;2024-04-21;1.38;1;44;4;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0
9848;Redtail House  Carlotta;153678208;Geographe Holiday Homes;Western Australia;NANNUP;-34.075451190339166;115.8061005263664;Entire home/apt;190;1;8;2024-06-03;2.79;100;309;8;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
9849;Bluewater Retreat at Jays Beach;159388704;Maxine;Western Australia;AUGUSTA-MARGARET RIVER;-34.32809690112891;115.1683333914696;Entire home/apt;567;2;2;2024-04-28;0.94;33;245;2;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0
9850;Scarborough retreat;80790554;Diane;Western Australia;STIRLING;-31.89253;115.76055;Private room;110;2;14;2024-05-12;3.85;1;81;14;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1
9851;Peaceful Escape;108327595;Gurjeet;Western Australia;GOSNELLS;-32.0788912;115.9452753;Entire home/apt;200;1;8;2024-04-21;2.64;2;168;8;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1
9852;2BDR 1BTH 1PRK  James Jem;298718719;Cloud Bnb;Western Australia;PERTH;-31.94508684026096;115.85258051847988;Entire home/apt;210;3;1;2024-05-27;1.0;59;348;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0
9853;SelaVie Life of deep rest;565664487;Brendon;Western Australia;ESPERANCE;-33.87632290650118;121.87805345662493;Entire home/apt;662;3;3;2024-04-18;1.05;1;225;3;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0
9854;1BRD 1BTH 1PRK  Northbridge Apartment;298718719;Cloud Bnb;Western Australia;PERTH;-31.94552032559776;115.85423556835036;Entire home/apt;168;3;1;2024-03-30;0.34;59;339;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0
9855;A room with a private bathroom;35196543;Muhammad;Western Australia;PERTH;-31.94370723786366;115.85407695681828;Private room;65;1;3;2024-04-24;0.83;1;134;3;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0
9856;Marina Views Apartment  Executive Escapes;34477031;Executive Escapes;Western Australia;COCKBURN;-32.1038711;115.7628356;Entire home/apt;216;3;1;2024-04-02;0.35;56;337;1;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0
9857;The Roebuck Studio;374726651;Amandeep;Western Australia;BROOME;-17.933502428053174;122.23129335790873;Entire home/apt;230;1;4;2024-06-22;4.0;1;93;4;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0
9858;That Yellow Door AirBNB;198576865;Collette;Western Australia;NANNUP;-33.9849664;115.7683134;Entire home/apt;271;2;8;2024-06-23;2.73;1;164;8;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
9859;Dianella Staycation close to CBD;95810447;Natalie;Western Australia;STIRLING;-31.902329130646883;115.8739688364414;Entire home/apt;650;1;5;2024-06-14;2.24;1;96;5;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0
9860;Seaview In Old Dunsborough Ocean Views;99590132;Vicki;Western Australia;BUSSELTON;-33.5985657;115.1015736;Entire home/apt;413;3;3;2024-06-03;1.1;23;56;3;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0
9861;Stylish Contemporary Living;525777823;Ujal;Western Australia;MOSMAN PARK;-32.013377952095084;115.76119351835034;Entire home/apt;121;2;4;2024-05-26;1.62;6;83;4;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0
9862;Coastal Zen at Casa Blanca;91163356;Sarah;Western Australia;JOONDALUP;-31.817734544889205;115.77519201046572;Private room;71;1;2;2024-05-27;0.65;4;268;2;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0
9863;The Paris Room at Casa Blanca;91163356;Sarah;Western Australia;JOONDALUP;-31.81677847977706;115.77563381787569;Private room;70;1;4;2024-06-21;2.79;4;270;4;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1
9864;Wildflower room at Casa Blanca;91163356;Sarah;Western Australia;JOONDALUP;-31.816201572624948;115.77567319112126;Private room;70;1;7;2024-06-17;2.21;4;258;7;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1
9865;Beautiful Spacious house Byford;439194342;Sabina;Western Australia;SERPENTINE-JARRAHDALE;-32.22310103189729;115.99085178927204;Entire home/apt;220;1;7;2024-06-11;2.41;1;209;7;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0
9866;Wake up with River Views;117085716;Jay;Western Australia;SOUTH PERTH;-31.97462;115.87062;Entire home/apt;146;2;16;2024-06-11;4.71;1;119;16;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0
9867;Forest View Cottage;307334651;Alyssia;Western Australia;MANJIMUP;-34.32365847756143;116.30978198953578;Entire home/apt;186;2;1;2024-06-03;1.0;2;326;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0
9868;Holiday house with beautiful view from garden;547333519;Prashant;Western Australia;SWAN;-31.77267971093924;115.95818548004624;Entire home/apt;215;2;5;2024-06-03;1.9;1;158;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
9869;2BDR 1BTH 1PRK  Northbridge Magic;298718719;Cloud Bnb;Western Australia;PERTH;-31.94566585702589;115.8536188647831;Entire home/apt;210;3;1;2024-04-14;0.41;59;343;1;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
9870;Gum tree hideaway;566116942;Marilyn;Western Australia;MANDURAH;-32.587139857566505;115.64881712254646;Entire home/apt;175;2;6;2024-06-09;1.78;1;72;6;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0
9871;Entire Upstairs in Rustic Beach Villa;589821;Yasmine;Western Australia;ROCKINGHAM;-32.33048689966909;115.74350904376496;Entire home/apt;175;1;22;2024-06-25;6.47;4;84;22;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0
9872;Kenlangi  Peaceful Retreat;31000781;Helen;Western Australia;COOROW;-30.0682396;114.9729216;Entire home/apt;310;1;8;2024-06-03;2.7;2;220;8;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
9873;Dolphin Cabin;348977599;Kylie;Western Australia;JERRAMUNGUP;-34.39309488444873;119.37352518176088;Entire home/apt;171;1;15;2024-06-23;5.23;4;356;15;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0
9874;Comfortable park view;105210841;Alex;Western Australia;VINCENT;-31.935607130448627;115.86195244196269;Entire home/apt;121;3;4;2024-06-09;3.24;1;81;4;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1
9875;Apartment midland;495712699;Mayana;Western Australia;SWAN;-31.88694;116.01238;Entire home/apt;72;1;1;2024-04-03;0.35;1;112;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
9876;Blue Barn Nornalup remote offgrid coastal retreat;91222221;Emelie;Western Australia;DENMARK;-35.008683377488886;116.82756340029812;Private room;270;1;1;2024-06-03;1.0;3;91;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0
9877;Family Beach Haven in Silversands;370964657;Nicole;Western Australia;MANDURAH;-32.501631478470784;115.74091345535786;Entire home/apt;234;2;7;2024-06-05;2.41;1;180;7;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0
9878;New Room near CBD  Airport Self Checkin Bed 1;91783476;Matiu;Western Australia;BAYSWATER;-31.911725379868912;115.91421217399972;Private room;110;1;7;2024-05-09;2.06;2;174;7;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0
9879;Sandy Feet Retreat;15360130;Davinia;Western Australia;BUSSELTON;-33.6581068;115.303969;Entire home/apt;222;2;1;2024-04-28;0.5;89;19;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0
9880;Brand New private bedroom near CBDAirport Bed 2;91783476;Matiu;Western Australia;BAYSWATER;-31.9123;115.91478;Private room;110;1;3;2024-04-03;0.91;2;360;3;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0
9881;Tidy Townhouse Centrally located with Wifi;497707882;Maddison;Western Australia;MANDURAH;-32.53345744582464;115.7297957316041;Entire home/apt;222;1;6;2024-04-28;1.76;1;247;6;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1
9882;Delightful 1Brm Riverside Home;134999780;Angela;Western Australia;MELVILLE;-32.02719462162141;115.78036911557052;Entire home/apt;130;1;3;2024-05-29;1.08;1;11;3;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0
9883;Cosy Coastal Getaway in Heathridge Perth;34633648;Aimee;Western Australia;JOONDALUP;-31.755216606257196;115.74438441689446;Entire home/apt;149;2;10;2024-06-02;3.16;1;161;10;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0
